a,a
a dua,a two
a hoàn,A complete
a phiến,A slab
a tòng,A Tong
à,at
ả,her
ả đào,Dao
á,on
á khẩu,Asia
á khôi,second place
á kim,metalloid
ạ,sir
ác,evil
ác cảm,malevolence
ác chiến,battle
ác mộng,nightmare
ác nghiệt,evil
ác tà,evil
ác tâm,malevolence
ác thú,evil
ách,yoke
ạch,slant
ai,ai
ai ai,ai ai
ai điếu,condolence
ai oán,Ai resentment
ải,gate
ải quan,Ai Quan
ái,loving
ái ân,loving
ái hữu,loving
ái khanh,Ai Khanh
ái lực,affinity
ái mộ,loving
ái nam ái nữ,Women's Ai Ai
ái ngại,fear
ái phi,Ai Phi
ái quốc,patriotic
ái tình,love
am,am
am hiểu,acknowledge
am pe,I have
ảm đạm,bleak
ám,but
ám ảnh,obsess
ám chỉ,refer
ám hại,haunt
ám hiệu,signal
ám muội,underhand
ám sát,assassinate
ám tả,desperate
ám thị,insinuation
an,an
an bài,arrangement
an cư,settle
an dưỡng,sanatoriums
an nghỉ,rest in peace
an ninh,security
an phận,peace
an táng,burial
an tâm,assurance
an toàn,safe
an ủi,appease
an vị,peaceful
án,sentence
án mạng,murder
án ngữ,judgment
án phí,judgment
án sát,murder
án thư,judgment
ang,The
ang áng,Ang Ang
áng,hole
anh,older brother
anh ánh,Anh Anh
anh dũng,heroic
anh đào,Cherry
anh em,brothers
anh hùng,hero
anh linh,Mr. Linh
anh tài,Mr. Tai
anh thư,heroine
anh tuấn,handsome
ảnh,image
ảnh ảo,virtual photo
ảnh hưởng,affect
ánh,light
ánh sáng,the light
ao,to
ao ước,wish
ào,raw
ào ào,rush
ào ạt,stormily
ảo,virtual
ảo ảnh,illusion
ảo giác,illusion
ảo mộng,wish a dream not real
ảo não,NO
ảo thuật,Magic
ảo tưởng,illusion
ảo tượng,thought
áo,shirt
áo choàng,cloak
áo dài,Ao Dai
áo giáp,armor
áo gối,pillowcase
áo mưa,raincoat
áo quan,mandarin
áo quần,clothes
áo sơ mi,shirt
áp,pressure
áp bức,oppressive
áp dụng,apply
áp đảo,overwhelm
áp đặt,imposed
áp giải,resolve
áp lực,pressure
áp suất,Pressure
áp tải,load
áp tới,incoming
át,over
au,au
áy náy,repentent
ắc qui,battery
ăm ắp,eah
ẵm,Winning
ăn,eat
ăn bám,parasitic
ăn bận,Eat busy
ăn bốc,eat
ăn bớt,relieve
ăn cánh,wings
ăn cắp,steal
ăn chay,vegetarian
ăn chắc,ground
ăn chơi,dissipated
ăn cỗ,eat
ăn cưới,go to the wedding
ăn cướp,robbery
ăn giải,prize
ăn gian,cheating
ăn giỗ,death
ăn hại,useless
ăn hiếp,bully
ăn hỏi,ask
ăn hối lộ,bribery
ăn không,eat
ăn khớp,joint
ăn kiêng,Diet
ăn lãi,Eat profit
ăn lương,salary
ăn mày,mendicity
ăn nằm,lying
ăn năn,repent
ăn nhịp,chant
ăn nói,talk
ăn ở,accommodation
ăn quịt,eaten
ăn sống,raw
ăn sương,dew
ăn tạp,gobble
ăn tết,Tet
ăn tham,greedy
ăn thề,swear
ăn thua,loser
ăn thừa,excess
ăn tiệc,regale
ăn tiền,eating money
ăn tiêu,pepper
ăn trộm,thief
ăn uống,Eating
ăn vạ,tantrums
ăn vụng,eagerly
ăn xổi,diet
ăn ý,sincere
ắp,lit
ắt,surely
âm,minus
âm ấm,lukewarm
âm ba,soundwave
âm cung,bow
âm cực,cathode
âm dương,lunisolar
âm đạo,vagina
âm điệu,tone
âm hạch,clitoris
âm hộ,vulva
âm hồn,soul
âm hưởng,sound
âm ỉ,dull
âm lượng,volume
âm mao,maiden
âm mưu,conspiracy
âm nang,scrotum
âm nhạc,music
âm phủ,Hell
âm sắc,tone
âm thầm,silently
âm thoa,negative
âm tín,toned
âm u,dark
âm vận,negative
ầm,rumbling
ầm ĩ,loudly
ẩm,warm
ẩm thấp,damp
ẩm thực,culinary
ấm,warm
ấm áp,warm
ấm cúng,homey
ấm no,fullness
ân,favor
ân ái,loving
ân cần,thoughtful
ân hận,regret
ân huệ,favor
ân nghĩa,favor
ân nhân,benefactor
ân oán,resentment
ân tình,Love
ân xá,pardon
ẩn,hidden
ẩn dật,recluse
ẩn náu,refuge
ẩn ý,implication
ấn,press
ấn định,fixed
