Index,Target,Response
0,abơvin (văn hoá),"['a', 'a bung', 'a capela', 'a di', 'a di đà', 'a di đà kinh', 'a di đà phật', 'a di đà tam tôn', 'a đổ', 'a dơi', 'a đới', 'a dua', 'a giao', 'a giay', 'a ha', 'a hoàn', 'a la hán', 'a lại da thức', 'a lù', 'a lưới', 'a mon', 'a mrơn', 'a mú sung', 'a ngo', 'a nốt', 'a phiến', 'a phòng', 'a roàng', 'a tì địa ngục', 'a tiêng', 'a ting', 'a tòng', 'a túc', 'a vao', 'a vương', 'a xan', 'a xing', 'a xít', 'a yun', 'aapso', 'ab', 'abac', 'abat k. a.', 'abaxit', 'abê kôbô', 'abêla p.', 'aben (định lí)', 'aben n. h.', 'abijan', 'abơvin (văn hoá)']"
0,acpơ h.,"['a', 'a bung', 'a capela', 'a di', 'a di đà', 'a di đà kinh', 'a di đà phật', 'a di đà tam tôn', 'a đổ', 'a dơi', 'a đới', 'a dua', 'a giao', 'a giay', 'a ha', 'a hoàn', 'a la hán', 'a lại da thức', 'a lù', 'a lưới', 'a mon', 'a mrơn', 'a mú sung', 'a ngo', 'a nốt', 'a phiến', 'a phòng', 'a roàng', 'a tì địa ngục', 'a tiêng', 'a ting', 'a tòng', 'a túc', 'a vao', 'a vương', 'a xan', 'a xing', 'a xít', 'a yun', 'aapso', 'ab', 'abac', 'abat k. a.', 'abaxit', 'abê kôbô', 'abêla p.', 'aben (định lí)', 'aben n. h.', 'abijan', 'abơvin (văn hoá)', 'abraham p. h.', 'abram c. u.', 'abu', 'abu an farai an ixbahani', 'abu đabi', 'abu nuoat', 'abu tamam', 'abuja', 'acađêmi', 'acanthođi', 'acba', 'acbit', 'acbit hối đoái', 'acbuzôp a. e.', 'acbuzôp a. n.', 'acc', 'acchipenkô a.', 'accôngtơ', 'accoocđêông', 'acct', 'acđen', 'ace', 'acfod', 'acgentit', 'acghêđat h. m.', 'acghêzi t.', 'acgilit', 'acgon', 'acgyron', 'ach', 'acha hem chiêu', 'acha miên', 'acha xoa', 'achentina', 'ackat', 'ackeoocnit', 'ackêôptêric', 'ackêôxiata', 'ackêozôi', 'ackhê', 'ackhipôp a. e.', 'acm', 'acmênia', 'acmênia (sơn nguyên)', 'acmôla', 'acmônica', 'ac-mô-ni-ca', 'acmôry sô', 'acpơ h.']"
0,ađy enđrơ,"['abijan', 'abơvin (văn hoá)', 'abraham p. h.', 'abram c. u.', 'abu', 'abu an farai an ixbahani', 'abu đabi', 'abu nuoat', 'abu tamam', 'abuja', 'acađêmi', 'acanthođi', 'acba', 'acbit', 'acbit hối đoái', 'acbuzôp a. e.', 'acbuzôp a. n.', 'acc', 'acchipenkô a.', 'accôngtơ', 'accoocđêông', 'acct', 'acđen', 'ace', 'acfod', 'acgentit', 'acghêđat h. m.', 'acghêzi t.', 'acgilit', 'acgon', 'acgyron', 'ach', 'acha hem chiêu', 'acha miên', 'acha xoa', 'achentina', 'ackat', 'ackeoocnit', 'ackêôptêric', 'ackêôxiata', 'ackêozôi', 'ackhê', 'ackhipôp a. e.', 'acm', 'acmênia', 'acmênia (sơn nguyên)', 'acmôla', 'acmônica', 'ac-mô-ni-ca', 'acmôry sô', 'acpơ h.', 'ac-quy', 'acra', 'acrilat', 'acrilonitrin', 'acrolein', 'acrôpôn', 'acsimet', 'acsimet (định luật)', 'acsimet (tiên đề)', 'acsitravơ', 'acsơn pentinh', 'acth', 'actin', 'actini', 'actinoit', 'actinolit', 'actinomixin d', 'actisô', 'actô a.', 'actomiosin', 'ad', 'ad hoc', 'ad wrng', 'ada', 'ađagiô', 'a-đam', 'ađamantan', 'ađamxtao', 'ađaptơ', 'adb', 'add', 'ađen', 'ađênaoơ k.', 'ađenin', 'ađenosin điphotphat', 'ađenosin monophotphat', 'ađenosin triphotphat', 'ađi - abêba', 'a-đi-xơn', 'ađixơn j.', 'adn', 'adn (axit deoxyribonucleic)', 'ađoocnô t. v.', 'adp', 'a-drê-na-lin', 'ađrenalin (l–)', 'ađriatich', 'ads', 'ađy enđrơ']"
0,airơlangga,"['acmôry sô', 'acpơ h.', 'ac-quy', 'acra', 'acrilat', 'acrilonitrin', 'acrolein', 'acrôpôn', 'acsimet', 'acsimet (định luật)', 'acsimet (tiên đề)', 'acsitravơ', 'acsơn pentinh', 'acth', 'actin', 'actini', 'actinoit', 'actinolit', 'actinomixin d', 'actisô', 'actô a.', 'actomiosin', 'ad', 'ad hoc', 'ad wrng', 'ada', 'ađagiô', 'a-đam', 'ađamantan', 'ađamxtao', 'ađaptơ', 'adb', 'add', 'ađen', 'ađênaoơ k.', 'ađenin', 'ađenosin điphotphat', 'ađenosin monophotphat', 'ađenosin triphotphat', 'ađi - abêba', 'a-đi-xơn', 'ađixơn j.', 'adn', 'adn (axit deoxyribonucleic)', 'ađoocnô t. v.', 'adp', 'a-drê-na-lin', 'ađrenalin (l–)', 'ađriatich', 'ads', 'ađy enđrơ', 'aêta', 'afanaxiep (văn hoá)', 'aflatoxin', 'afôntôva (văn hoá)', 'afp', 'afs', 'aftn', 'ag', 'aga', 'aga emb', 'agana', 'agat', 'agena', 'aghinanđô ê.', 'agiô', 'aglômerat', 'agora', 'agricôla g. b.', 'agumen', 'ahaga', 'ahbp', 'ahô i.', 'ai', 'ai ai', 'ai bi', 'ai cập', 'ai cập học', 'ai điếu', 'ai giang nam', 'ai hầu chi ai', 'ai hoài', 'ai lao', 'ai nấy', 'ai oán', 'ai tín', 'aibd', 'aic', 'aidc', 'aiđit đ. n.', 'aids', 'aighen m.', 'aikơn h.', 'ailen', 'aimatôp ch.', 'ainu', 'aip', 'airac', 'airep', 'airơlangga']"
0,aluvi,"['ads', 'ađy enđrơ', 'aêta', 'afanaxiep (văn hoá)', 'aflatoxin', 'afôntôva (văn hoá)', 'afp', 'afs', 'aftn', 'ag', 'aga', 'aga emb', 'agana', 'agat', 'agena', 'aghinanđô ê.', 'agiô', 'aglômerat', 'agora', 'agricôla g. b.', 'agumen', 'ahaga', 'ahbp', 'ahô i.', 'ai', 'ai ai', 'ai bi', 'ai cập', 'ai cập học', 'ai điếu', 'ai giang nam', 'ai hầu chi ai', 'ai hoài', 'ai lao', 'ai nấy', 'ai oán', 'ai tín', 'aibd', 'aic', 'aidc', 'aiđit đ. n.', 'aids', 'aighen m.', 'aikơn h.', 'ailen', 'aimatôp ch.', 'ainu', 'aip', 'airac', 'airep', 'airơlangga', 'ais', 'ait', 'aivazôpxki i. k.', 'aivơ s.', 'aixenhao đ. đ.', 'aixlen', 'aizôpôt', 'ajanta', 'ak', 'akhênatông', 'akhơmatôva a. a.', 'akinô c.', 'akutagaoa yaxusi', 'akzo', 'al', 'ala', 'a-la', 'a-la-hán', 'alanh', 'alasei', 'alaungpaya', 'alaxka', 'alêchxanđri', 'alêchxanđrơ đại đế', 'alêchxanđrơ i', 'alêchxanđrơ nepxki', 'alêchxanđrơ y meclô v.', 'alêgria x.', 'alêgrô', 'alen', 'alen giả', 'alen lặn', 'alen trội', 'alerfa', 'alêuxiên', 'algol', 'alienđê g. x.', 'alisahbana x. t.', 'alit', 'alizarin', 'allotip', 'alơ', 'alôngxô a.', 'alơrit', 'alpha', 'aluminat', 'aluminsilicat', 'alunit', 'aluvi']"
0,amonit,"['airep', 'airơlangga', 'ais', 'ait', 'aivazôpxki i. k.', 'aivơ s.', 'aixenhao đ. đ.', 'aixlen', 'aizôpôt', 'ajanta', 'ak', 'akhênatông', 'akhơmatôva a. a.', 'akinô c.', 'akutagaoa yaxusi', 'akzo', 'al', 'ala', 'a-la', 'a-la-hán', 'alanh', 'alasei', 'alaungpaya', 'alaxka', 'alêchxanđri', 'alêchxanđrơ đại đế', 'alêchxanđrơ i', 'alêchxanđrơ nepxki', 'alêchxanđrơ y meclô v.', 'alêgria x.', 'alêgrô', 'alen', 'alen giả', 'alen lặn', 'alen trội', 'alerfa', 'alêuxiên', 'algol', 'alienđê g. x.', 'alisahbana x. t.', 'alit', 'alizarin', 'allotip', 'alơ', 'alôngxô a.', 'alơrit', 'alpha', 'aluminat', 'aluminsilicat', 'alunit', 'aluvi', 'am', 'am đồng', 'am hán chùa lương', 'am hiểu', 'am mây', 'am pe', 'am tự', 'am tường', 'am váp', 'amađô j.', 'amangam', 'amanula khan', 'amaravati', 'amatêraxu omikami', 'amati', 'amazôn', 'ambacxumian v. a.', 'ambe', 'ambulatoria es voluntae defuneti usque ad vitae supremum exitum', 'ameclinh k. x.', 'amêrigô vexpuxi', 'amerixi', 'amhs', 'amiăng', 'amiđan', 'amiđan tiểu não', 'amien h. f.', 'amilaza', 'amilopectin', 'amilozơ', 'amin', 'aminobenzen', 'aminopeptiđaza', 'aminopurin', 'amip', 'amit', 'amman', 'amon phân', 'amonan', 'amoni', 'amoni clorua', 'amoni nhôm sunfat', 'amoni nitrat', 'amoni pesunfat', 'amoni sunfat', 'amoniac', 'a-mô-ni-ac', 'amoniacat', 'amonit']"
0,an điền,"['alunit', 'aluvi', 'am', 'am đồng', 'am hán chùa lương', 'am hiểu', 'am mây', 'am pe', 'am tự', 'am tường', 'am váp', 'amađô j.', 'amangam', 'amanula khan', 'amaravati', 'amatêraxu omikami', 'amati', 'amazôn', 'ambacxumian v. a.', 'ambe', 'ambulatoria es voluntae defuneti usque ad vitae supremum exitum', 'ameclinh k. x.', 'amêrigô vexpuxi', 'amerixi', 'amhs', 'amiăng', 'amiđan', 'amiđan tiểu não', 'amien h. f.', 'amilaza', 'amilopectin', 'amilozơ', 'amin', 'aminobenzen', 'aminopeptiđaza', 'aminopurin', 'amip', 'amit', 'amman', 'amon phân', 'amonan', 'amoni', 'amoni clorua', 'amoni nhôm sunfat', 'amoni nitrat', 'amoni pesunfat', 'amoni sunfat', 'amoniac', 'a-mô-ni-ac', 'amoniacat', 'amonit', 'amonoit', 'amophot', 'amp', 'amp vòng', 'ampe', 'ampe (định luật)', 'ampe (quy tắc)', 'ampe a. m.', 'ampe giờ', 'ampe mét', 'ampe vòng', 'amper', 'amper kế', 'amphetamin', 'amphibia', 'amphibolit', 'amphibon', 'amphiteat', 'ampli', 'amsl', 'amss', 'amu đaria', 'amua', 'amunxen', 'amxtecđam', 'amxtơrông l. đ.', 'amxtơrông n.', 'an', 'an ấp', 'an bá', 'an bài', 'an bần', 'an bang', 'an biên', 'an bình', 'an bình a', 'an bình b', 'an bình tây', 'an bồi', 'an cầu', 'an chấn', 'an châu', 'an cư', 'an cư lạc nghiệp', 'an cựu', 'an dân', 'an đạo', 'an dật', 'an điền']"
0,an lòng,"['amoniacat', 'amonit', 'amonoit', 'amophot', 'amp', 'amp vòng', 'ampe', 'ampe (định luật)', 'ampe (quy tắc)', 'ampe a. m.', 'ampe giờ', 'ampe mét', 'ampe vòng', 'amper', 'amper kế', 'amphetamin', 'amphibia', 'amphibolit', 'amphibon', 'amphiteat', 'ampli', 'amsl', 'amss', 'amu đaria', 'amua', 'amunxen', 'amxtecđam', 'amxtơrông l. đ.', 'amxtơrông n.', 'an', 'an ấp', 'an bá', 'an bài', 'an bần', 'an bang', 'an biên', 'an bình', 'an bình a', 'an bình b', 'an bình tây', 'an bồi', 'an cầu', 'an chấn', 'an châu', 'an cư', 'an cư lạc nghiệp', 'an cựu', 'an dân', 'an đạo', 'an dật', 'an điền', 'an định', 'an đô', 'an đôn phác', 'an đồng', 'an dục', 'an đức', 'an đức tây', 'an dũng', 'an dương', 'an dưỡng', 'an dưỡng đường', 'an dương vương', 'an giang', 'an hà', 'an hải', 'an hải bắc', 'an hải đông', 'an hải tây', 'an hảo', 'an hiệp', 'an hoá', 'an hoà', 'an hoà tây', 'an hội', 'an hồng', 'an hùng', 'an hưng', 'an hưởng', 'an hữu', 'an khang', 'an khánh', 'an khê', 'an khương', 'an kỳ sinh', 'an lạc', 'an lạc tây', 'an lạc thôn', 'an lâm', 'an lành', 'an lão', 'an lão (bình định)', 'an lão (hải phòng)', 'an lập', 'an lễ', 'an lĩnh', 'an lộc', 'an lợi đông', 'an long', 'an lòng']"
0,an quảng hữu,"['an dật', 'an điền', 'an định', 'an đô', 'an đôn phác', 'an đồng', 'an dục', 'an đức', 'an đức tây', 'an dũng', 'an dương', 'an dưỡng', 'an dưỡng đường', 'an dương vương', 'an giang', 'an hà', 'an hải', 'an hải bắc', 'an hải đông', 'an hải tây', 'an hảo', 'an hiệp', 'an hoá', 'an hoà', 'an hoà tây', 'an hội', 'an hồng', 'an hùng', 'an hưng', 'an hưởng', 'an hữu', 'an khang', 'an khánh', 'an khê', 'an khương', 'an kỳ sinh', 'an lạc', 'an lạc tây', 'an lạc thôn', 'an lâm', 'an lành', 'an lão', 'an lão (bình định)', 'an lão (hải phòng)', 'an lập', 'an lễ', 'an lĩnh', 'an lộc', 'an lợi đông', 'an long', 'an lòng', 'an lư', 'an lục', 'an lương', 'an lưu', 'an manama', 'an minh', 'an minh bắc', 'an mỹ', 'an nam', 'an nam cộng sản đảng', 'an nam đô hộ phủ', 'an nam tứ đại khí', 'an ngãi', 'an ngãi tây', 'an ngãi trung', 'an nghỉ', 'an nghĩa', 'an nghiệp', 'an nguy', 'an nhàn', 'an nhơn', 'an nhơn tây', 'an nhựt tân', 'an ninh', 'an ninh cao uỷ phủ', 'an ninh đông', 'an ninh nguồn phóng xạ, vật liệu hạt nhân và thiết bị hạt nhân', 'an ninh nhân dân việt nam', 'an ninh quốc gia', 'an ninh tây', 'an nội', 'an nông', 'an ổn', 'an pha', 'an phận', 'an phong', 'an phú', 'an phụ', 'an phú đông', 'an phủ sứ', 'an phú tân', 'an phú tây', 'an phú thuận', 'an phú trung', 'an phúc', 'an phước', 'an quang', 'an quảng', 'an quảng hữu']"
0,an tôn,"['an long', 'an lòng', 'an lư', 'an lục', 'an lương', 'an lưu', 'an manama', 'an minh', 'an minh bắc', 'an mỹ', 'an nam', 'an nam cộng sản đảng', 'an nam đô hộ phủ', 'an nam tứ đại khí', 'an ngãi', 'an ngãi tây', 'an ngãi trung', 'an nghỉ', 'an nghĩa', 'an nghiệp', 'an nguy', 'an nhàn', 'an nhơn', 'an nhơn tây', 'an nhựt tân', 'an ninh', 'an ninh cao uỷ phủ', 'an ninh đông', 'an ninh nguồn phóng xạ, vật liệu hạt nhân và thiết bị hạt nhân', 'an ninh nhân dân việt nam', 'an ninh quốc gia', 'an ninh tây', 'an nội', 'an nông', 'an ổn', 'an pha', 'an phận', 'an phong', 'an phú', 'an phụ', 'an phú đông', 'an phủ sứ', 'an phú tân', 'an phú tây', 'an phú thuận', 'an phú trung', 'an phúc', 'an phước', 'an quang', 'an quảng', 'an quảng hữu', 'an quý', 'an sinh', 'an sơn', 'an tâm', 'an tân', 'an táng', 'an tây', 'an thạch', 'an thái', 'an thái đông', 'an thái trung', 'an thân', 'an thần', 'an thắng', 'an thành', 'an thạnh', 'an thạnh thuỷ', 'an thạnh trung', 'an thịnh', 'an thổ', 'an thọ', 'an thới', 'an thới đông', 'an thuận', 'an thương', 'an thượng', 'an thường thủ phận', 'an thuỷ', 'an tiêm', 'an tiến', 'an tĩnh', 'an tịnh', 'an tọa', 'an toàn', 'an toàn bức xạ', 'an toàn dịch bệnh', 'an toàn dữ liệu', 'an toàn giao thông', 'an toàn hạt nhân', 'an toàn khu', 'an toàn lao động', 'an toàn lương thực', 'an toàn phóng xạ', 'an toàn sâu bệnh', 'an toàn sinh học', 'an toàn sinh học trong xét nghiệm', 'an toàn thông tin', 'an toàn xã hội', 'an tôn']"
