Tuesday,"['thứ ba', 'ngày thứ ba', 'thứ Ba', 'Thứ Ba']"
Saturday,"['thứ bảy', 'ngày thứ bảy', 'thứ Bảy', 'thứ từ', 'Thứ Bảy']"
level,"['mức', 'cấp', 'san bằng', 'bằng', 'phẳng', 'ngang bằng', 'san phẳng', 'trình độ', 'mực', 'chĩa', 'mức độ', 'tầng', 'bằng phẳng', 'ngưỡng', 'san', 'bậc', 'mặt', 'nhắm', 'vai', 'giẩy', 'bình độ', 'cào bằng', 'cân bằng đều', 'làm cho bình đẳng', 'làm cho bằng nhau', 'làm cho như nhau', 'mức ngang nhau', 'ngang tài ngang sức', 'vị trí', 'đẳng cấp', 'ống bọt nước', 'ống thuỷ', 'bào', 'mặt phẳng', 'đều đều', 'độ cao']"
people,"['nhân dân', 'người', '人民', 'dân', 'gia đình', 'dân tộc', 'bá tánh', 'bách tính', 'dân chúng', 'mọi người', 'người dân', 'người ta', 'nhân viên', 'tộc', 'nhân', 'họ hàng', 'bà con', 'con người', 'di dân', 'người ở', 'những người làm', 'những người theo hầu', 'những người tuỳ tùng', 'quần chúng', 'quốc dân', 'sinh linh', 'thiên hạ', 'đồng bào', 'tính', 'gia đinh']"
junior,"['con', 'em', 'hậu bối', 'hậu sinh', 'người cấp dưới', 'người ít tuổi hơn', 'trẻ tuổi hơn', 'ít thâm niên hơn', 'ít tuổi hơn', 'ở cấp dưới', 'cấp thấp', 'thấp hơn']"
Monday,"['thứ hai', 'ngày thứ hai', 'Ngày thú Hai', 'thứ Hai', 'Thứ Hai']"
sample,"['mẫu', 'thử', 'lấy mẫu', 'mẫu hàng', 'đưa mẫu', 'kiểu mẫu', 'Mẫu', 'thí dụ', 'vật mẫu']"
male th,['cannot found']
Thursday,"['thứ năm', 'ngày thứ năm', 'thứ Năm', 'Thứ Năm']"
supporting actress,['cannot found']
by-products,['cannot found']
second,"['giây', 'thứ hai', 'tán thành', 'ủng hộ', 'thứ', 'hai', 'thứ nhì', 'giây lát', 'giây đồng hồ', 'một chốc', 'một lúc', 'người thứ hai', 'phó', 'phó chỉ huy', 'vật thứ hai', 'vị trí thứ hai', 'đệ nhị', 'phụ', 'phụ tá', 'thứ yếu', 'biệt phái', 'bổ sung', 'giúp đỡ', 'người săn sóc', 'người tán thành', 'người ủng hộ', 'phụ lực', 'thêm', 'סעקונדע', 'giây góc', 'một lát', 'người phò tá']"
room,"['phòng', 'buồng', 'chỗ', 'căn phòng', 'không gian', 'gian', 'căn nhà ở', 'cơ hội', 'cả phòng', 'duyên cớ', 'khả năng', 'lý do', 'ở chung phòng']"
Friday,"['thứ sáu', 'ngày thứ sáu', 'thứ Sáu', 'Thứ Sáu']"
history,"['lịch sử', '歷史', 'sử', 'sử học', 'môn lịch sử', 'quá trình lịch sử', 'lịch', 'kịch lịch sử', 'sử ký', 'sự tích', 'tiểu sử', '歷']"
frivolous,"['nhẹ dạ', 'phù phiếm', 'bông lông', 'không đáng kể', 'nhỏ mọn', 'tào lao', 'vô tích sự']"
Deputy,"['phó', 'nghị sĩ', 'cấp phó', 'người được ủy quyền', 'người thay mặt', 'người thay quyền', 'người được uỷ quyền', 'đại biểu', 'đại diện']"
Wednesday,"['thứ tư', 'ngày thứ tư', 'Thứ Tư', 'thứ Tư', 'Wednesday ngày thứ tư']"
second death,['cannot found']
order,"['trật tự', 'đặt', 'thứ', 'gọi', 'ra lệnh', 'thứ tự', 'lệnh', 'bộ', 'mệnh lệnh', 'cho', 'bậc', 'trình tự', 'mệnh', 'hàng', 'ngăn nắp', 'pháp lệnh', 'sự đặt hàng', 'thông tư', 'tầng lớp', 'lịnh', 'cấp', 'sai', 'khiến', 'loại', 'ngôi', 'đệ', 'bảo người hầu đưa', 'bội tinh', 'cho dùng', 'chế độ', 'chỉ dẫn', 'giai cấp', 'gọi món', 'hiệu lệnh', 'hạ lịnh', 'lớp lang', 'nội quy', 'phán bảo', 'phán truyền', 'ra lịnh', 'sai khiến', 'sắp đặt', 'thu xếp', 'thủ tục', 'thứ bậc', 'định đoạt', 'Cấp', 'đoàn', 'loài', 'chỉ thị', 'hạ lệnh', 'sắp xếp', 'sự sắp xếp', 'truyền lệnh', 'xuống lệnh', 'Đặt hàng', 'đơn hàng', 'đặt hàng']"
grade,"['lớp', 'cấp', 'mức', 'hạng', 'bậc', 'cấp bậc', 'độ dốc', 'loại', 'độ', 'xếp', 'dốc', 'mức độ', 'đẳng', 'vai', 'Grát', 'lựa', 'sắp', 'chia loại', 'giai cấp', 'phân hạng', 'phân loại', 'phẩm loại', 'thay đổi dần dần', 'tăng lên', 'tầng lớp', 'đánh nhạt dần', 'điểm', 'are', 'ban', 'điểm số']"
secondary,"['thứ yếu', 'trung học', 'phụ', 'thứ', 'bé', 'chuyển hoá', 'không quan trọng', 'người giữ chức phó', 'thầy dòng', 'thứ cấp', 'thứ hai', 'thứ nhì', 'vệ tinh', 'đại trung sinh']"
sir,"['ngài', 'thưa ông', 'ông', 'bẩm', 'tiên sinh!', 'gọi bằng ngài', 'gọi bằng tiên sinh', 'gọi bằng ông', 'hoàng thượng', 'thưa thủ trưởng', 'đức', 'anh']"
whisper,"['thì thầm', 'nói thầm', 'xì xào', 'rì rầm', 'xào xạc', 'lời thì thầm', 'dỉ', 'nhẩm', 'bí mật phao lên', 'lời gợi ý bí mật', 'nói nhỏ', 'rầm rì', 'thì thào', 'tin đồn kín', 'tiếng nói thầm', 'tiếng xì xào', 'tiếng đồn kín', 'xì xào bàn tán']"
"Dear Sir,",['cannot found']
arraign,"['buộc tội', 'công kích', 'thưa kiện', 'tố cáo']"
