attack,"['tấn công', 'công kích', '攻撃', 'công', 'kích', 'bắt đầu giải quyết', 'cơn', 'oanh kích', 'bắt tay vào', 'bắt đầu', 'bắt đầu chiến sự', 'lao vào', 'nhiễm vào', 'sự công kích', 'sự tấn công', 'ăn mòn', 'đả kích', 'đấu đá', 'đả', 'vục', 'chỉ trích', 'cuộc tấn công']"
enthronement,"['sự tôn lên ngôi', 'sự phong', 'sự phong lên', 'sự tôn lêm', 'đăng quang']"
end,"['kết thúc', 'hoàn thành', 'sự kết thúc', 'hết', 'đuôi', 'chấm dứt', 'kết liễu', 'làm xong', 'cuối', 'cùng', 'cái kết', 'dứt', 'hồi kết', 'mút', 'tột cùng', 'điểm cuối', 'đoạn cuối', 'cuối cùng', 'đầu', 'ngừng', 'chót', 'bế mạc', 'chung cuộc', 'cứu cánh', 'giới hạn', 'kết luận', 'kết quả', 'mẩu còn lại', 'mẩu thừa', 'phần cuối', 'sự chết', 'sự kết liễu', 'đi đến chỗ', 'điều chấm dứt', 'điều kết thúc', 'đầu cuối', 'đầu mút', 'cái chết', 'mục đích', 'điểm kết thúc']"
end,"['kết thúc', 'hoàn thành', 'sự kết thúc', 'hết', 'đuôi', 'chấm dứt', 'kết liễu', 'làm xong', 'cuối', 'cùng', 'cái kết', 'dứt', 'hồi kết', 'mút', 'tột cùng', 'điểm cuối', 'đoạn cuối', 'cuối cùng', 'đầu', 'ngừng', 'chót', 'bế mạc', 'chung cuộc', 'cứu cánh', 'giới hạn', 'kết luận', 'kết quả', 'mẩu còn lại', 'mẩu thừa', 'phần cuối', 'sự chết', 'sự kết liễu', 'đi đến chỗ', 'điều chấm dứt', 'điều kết thúc', 'đầu cuối', 'đầu mút', 'cái chết', 'mục đích', 'điểm kết thúc']"
use,"['dùng', 'sử dụng', 'lợi dụng', 'xài', 'sự dùng', 'công năng', 'việc dùng', 'ích', 'dụng', 'cách dùng', 'năng lực sử dụng', 'quyền sử dụng', 'tiêu thụ', 'lễ nghi', 'quyền dùng', 'quyền hoa lợi', 'sự có ích', 'thói quen', 'tiêu dùng', 'trước kia hay', 'tập quán', 'vận dụng', 'áp dụng', 'ích lợi', 'ăn ở', 'đối xử', 'đối đ i', 'công dụng', 'sự sử dụng', 'tác dụng', 'việc sử dụng']"
filial piety,['cannot found']
enjoy,"['thích thú', 'hưởng', 'có được', 'đánh dấu trọng âm', 'được', 'khoái', 'hưởng thụ', 'thưởng ngoạn', 'thưởng thức', 'tận hưởng', 'tọa hưởng', 'được hưởng']"
do your best,['cannot found']
doomsday,"['ngày tận thế', 'ngày xét xử']"
conscientious,"['tận tâm', 'chu đáo', 'có lương tâm', 'cơ chỉ', 'cẩn thận', 'tỉ mỉ']"
